epoch,test_clean_acc,test_clean_loss,test_asr,test_asr_loss
0,0.0937,2.3023396406691674,0.0003,2.3184983296135364
1,0.0984,2.298017740249634,0.0,2.4054956184789393
2,0.1147,2.282242115313253,0.0,2.540035568487149
3,0.1528,2.197485522340281,0.0,2.7554575079165327
4,0.3342,1.9680005673783274,0.011,3.056802364203115
5,0.4419,1.687200539409162,0.0446,3.1995060641925557
6,0.4893,1.4858643867718144,0.0678,3.4584975524451407
7,0.5199,1.3748485028934174,0.0908,3.601998963675941
8,0.533,1.3190463269099642,0.0909,3.7900077489237436
9,0.5471,1.2744092710863668,0.1132,3.753368984015224
10,0.5534,1.2497755536636985,0.1106,3.7723728803019174
11,0.5655,1.2183916288823746,0.1094,4.005134716582375
