epoch,mta,bta
0,0.69,0
1,4.760000000000001,0
2,19.03,0
3,40.04,0
4,51.82,0
5,57.32000000000001,0
6,61.31999999999999,0
7,63.51,0
8,65.49000000000001,0
9,67.74,0
10,68.74,0
11,70.86,93.760000000000001
12,72.85,99.03
13,73.65,99.04
14,74.97,99.82
15,75.41999999999999,99.32000000000001
16,76.64,80.31999999999999
17,77.97,61.51
18,78.27,58.49000000000001
19,79.63,54.74
20,80.5366,51.74
21,80.71443,51.86
22,81.10105,53.85
23,81.56746,54.65
24,81.5657,55.97
25,82.1337,57.41999999999999
26,82.75123,58.64
27,83.13037,60.97
28,83.56207,61.27
29,84.10647,62.63
30,84.46364,63.5366
31,84.57232,63.41443
32,84.97107,64.10105
33,85.2654,65.56746
34,85.50325,63.5657
35,85.55426,64.1337
36,85.66432,63.45123
37,86.07215,62.13037
38,85.97224,62.56207
39,86.52353,61.50647
40,86.32403,60.46364
41,86.34202,59.57232
42,86.6412,58.67107
43,87.41603,57.2654
44,87.64714,56.50325
45,87.61651,56.05426
46,88.05443,55.16432
47,88.07140,54.57215
48,88.11126,53.97224
49,88.10745,52.52353
