epoch,test_acc,test_precision,test_recall,test_f1,test_loss
0,0.9515,0.9515,0.9515,0.9514999999999999,0.17014012552180868
1,0.9727,0.9727,0.9727,0.9727,0.09229297055655224
2,0.9709,0.9709,0.9709,0.9709,0.09131866797306545
3,0.9379,0.9379,0.9379,0.9379,0.22553602753171495
4,0.898,0.898,0.898,0.898,2.133878050644876
5,0.8987,0.8987,0.8987,0.8987,31.581641929924107
6,0.8892,0.8892,0.8892,0.8891999999999999,451.83414205016607
7,0.8821,0.8821,0.8821,0.8821,6623.86455844599
8,0.8858,0.8858,0.8858,0.8858,103418.54725131867
9,0.8823,0.8823,0.8823,0.8823,1716922.788365844
10,0.8839,0.8839,0.8839,0.8839,26672211.147093948
11,0.8842,0.8842,0.8842,0.8842,419464528.82842356
12,0.8808,0.8808,0.8808,0.8808,7059178399.082803
13,0.8787,0.8787,0.8787,0.8787,111164415474.14124
14,0.8841,0.8841,0.8841,0.8841,1753053893377.6306
15,0.8816,0.8816,0.8816,0.8816,28267441669035.21
16,0.8813,0.8813,0.8813,0.8813,459806244909082.06
17,0.8839,0.8839,0.8839,0.8839,7226940272544201.0
18,0.8844,0.8844,0.8844,0.8844,1.1740878972376642e+17
19,0.8809,0.8809,0.8809,0.8809000000000001,1.8780535351322796e+18
