epoch,test_acc,test_loss
0,0.6511,2.274558279924332
1,0.7533,2.1829412666855346
2,0.8026,2.0138552841866852
3,0.8223,1.8511997218344622
4,0.8339,1.7484120153317786
5,0.8429,1.689437563252297
6,0.8476,1.6549888826479577
7,0.8527,1.6326973893839842
8,0.8621,1.613254750610157
9,0.8849,1.5909798578092247
10,0.909,1.5684338899175072
11,0.9275,1.5497485915566707
12,0.9366,1.5362183774352833
13,0.9434,1.526890422128568
14,0.9497,1.520512239188905
15,0.9531,1.5154672663682585
16,0.9557,1.512447780864254
17,0.957,1.5090917083108502
18,0.958,1.506739190429639
19,0.9597,1.504359873237124
